all_finite,candidate_id,candidate_ids_json,component,instability_penalty,layer,layers_json,localization_proxy,mean_abs_corruption_margin,mean_decoded_support_delta,mean_margin_distance_recovery,mean_target_margin_delta,mean_target_probability_delta,num_edits,num_prompt_types,num_rows,num_seeds,num_state_labels,pilot_acceptance_status,policy_id,position,positive_recovery_fraction,prompt_type,prompt_type_std,seed_std,selection_source,site_score,source_table,stability_score,state_label,state_label_std,target_role,weighted_margin_distance_recovery
True,L29:hidden:first_subject,,hidden,,29,,,4.539591471354167,0.0,0.1939149167280033,0.8326619466145834,0.0022659480834571846,12,,12,,,,,first_subject,0.8333333333333334,,,,,0.17304262089364944,causal_trace_summary.csv,,,,target_true,0.17304262089364944
True,L22:hidden:first_answer_mask,,hidden,,22,,,3.0776808063189187,0.0,0.09038124300773706,-0.275126576423645,-0.00028474844357440077,12,,12,,,,,first_answer_mask,0.5833333333333334,,,,,0.1725367525373512,causal_trace_summary.csv,,,,target_new,0.1725367525373512
True,L06:hidden:last_subject,,hidden,,6,,,3.0776808063189187,0.0,0.23884039125865072,-0.06971909602483113,-0.00014735149800652417,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.1700433557404151,causal_trace_summary.csv,,,,target_new,0.1700433557404151
True,L21:hidden:first_subject,,hidden,,21,,,3.0776808063189187,0.0,0.1416209775057019,-0.2760857343673706,-0.0005288375707740064,12,,12,,,,,first_subject,0.5833333333333334,,,,,0.16789273733489912,causal_trace_summary.csv,,,,target_new,0.16789273733489912
True,L11:hidden:first_subject,,hidden,,11,,,4.539591471354167,0.08333333333333333,0.10905013600998793,1.0069580078125,0.07281957483692736,12,,12,,,,,first_subject,0.5833333333333334,,,,,0.1653834087751535,causal_trace_summary.csv,,,,target_true,0.1653834087751535
True,L05:mlp:last_subject,,mlp,,5,,,3.0776808063189187,0.0,0.2457265488980163,0.1801689863204956,-9.778253639266173e-05,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.16479790641922673,causal_trace_summary.csv,,,,target_new,0.16479790641922673
True,L26:hidden:first_subject,,hidden,,26,,,4.539591471354167,0.08333333333333333,0.1536358266410295,0.9115244547526041,0.026005615485236905,12,,12,,,,,first_subject,0.75,,,,,0.16434925827992647,causal_trace_summary.csv,,,,target_true,0.16434925827992647
True,L08:hidden:first_subject,,hidden,,8,,,3.0776808063189187,0.0,0.037971119704219736,-0.4944814046223958,0.001589854684425518,12,,12,,,,,first_subject,0.5,,,,,0.16394074740653367,causal_trace_summary.csv,,,,target_new,0.16394074740653367
True,L06:attention:last_subject,,attention,,6,,,3.0776808063189187,0.0,0.12312400858765254,0.12337640921274821,7.151567878456906e-05,12,,12,,,,,last_subject,0.75,,,,,0.1639019751925356,causal_trace_summary.csv,,,,target_new,0.1639019751925356
True,L12:attention:first_answer_mask,,attention,,12,,,3.0776808063189187,0.0,0.2445466057514825,-0.015371322631835938,0.0011173695777427402,12,,12,,,,,first_answer_mask,0.9166666666666666,,,,,0.16160083202614833,causal_trace_summary.csv,,,,target_new,0.16160083202614833
