bucket,expected_exact,method,num_prompt_rows,relation_id,target_new_hit_rate
far_locality,0.25,prompt_memory,4,P39,0.0
generation,0.0,prompt_memory,12,P39,0.08333333333333333
near_locality,0.3125,prompt_memory,16,P39,0.125
rewrite,0.75,prompt_memory,4,P39,0.75
same_subject,0.0,prompt_memory,4,P39,0.0
attribute,0.0,prompt_memory,5,P407,1.0
declarative_paraphrase,0.5,prompt_memory,4,P407,0.5
far_locality,0.0,prompt_memory,2,P407,0.0
generation,0.0,prompt_memory,6,P407,0.5
near_locality,0.14285714285714285,prompt_memory,14,P407,0.07142857142857142
rewrite,0.0,prompt_memory,2,P407,0.0
same_subject,0.0,prompt_memory,2,P407,0.0
attribute,0.0,prompt_memory,6,P413,0.5
declarative_paraphrase,0.16666666666666666,prompt_memory,12,P413,0.16666666666666666
far_locality,0.16666666666666666,prompt_memory,6,P413,0.0
generation,0.0,prompt_memory,18,P413,0.0
near_locality,0.0,prompt_memory,14,P413,0.14285714285714285
rewrite,0.8333333333333334,prompt_memory,6,P413,0.8333333333333334
same_subject,0.0,prompt_memory,6,P413,0.16666666666666666
attribute,0.0,prompt_memory,6,P449,0.5
declarative_paraphrase,0.75,prompt_memory,4,P449,0.75
far_locality,0.5,prompt_memory,2,P449,0.0
generation,0.0,prompt_memory,6,P449,0.6666666666666666
near_locality,0.13333333333333333,prompt_memory,15,P449,0.13333333333333333
rewrite,1.0,prompt_memory,2,P449,1.0
same_subject,0.0,prompt_memory,2,P449,0.0
attribute,0.0,prompt_memory,3,P463,0.0
declarative_paraphrase,0.0,prompt_memory,4,P463,0.0
far_locality,0.5,prompt_memory,2,P463,0.0
generation,0.0,prompt_memory,6,P463,0.0
near_locality,0.0,prompt_memory,12,P463,0.5
rewrite,0.5,prompt_memory,2,P463,0.5
same_subject,0.0,prompt_memory,2,P463,0.0
attribute,0.0,prompt_memory,6,P495,0.8333333333333334
declarative_paraphrase,0.75,prompt_memory,4,P495,0.75
far_locality,0.0,prompt_memory,2,P495,0.0
generation,0.0,prompt_memory,6,P495,0.6666666666666666
near_locality,0.1,prompt_memory,20,P495,0.55
rewrite,1.0,prompt_memory,2,P495,1.0
same_subject,0.0,prompt_memory,2,P495,0.0
attribute,0.0,prompt_memory,7,P641,0.8571428571428571
declarative_paraphrase,0.3333333333333333,prompt_memory,6,P641,0.3333333333333333
far_locality,1.0,prompt_memory,3,P641,0.0
generation,0.0,prompt_memory,8,P641,0.25
near_locality,0.2222222222222222,prompt_memory,9,P641,0.7777777777777778
rewrite,1.0,prompt_memory,3,P641,1.0
same_subject,0.0,prompt_memory,3,P641,0.0
attribute,0.0,prompt_memory,6,P740,0.6666666666666666
declarative_paraphrase,0.75,prompt_memory,4,P740,0.75
far_locality,0.5,prompt_memory,2,P740,0.0
generation,0.0,prompt_memory,6,P740,0.5
near_locality,0.15,prompt_memory,20,P740,0.1
rewrite,1.0,prompt_memory,2,P740,1.0
same_subject,0.0,prompt_memory,2,P740,0.0
attribute,0.0,prompt_memory,12,P937,0.75
declarative_paraphrase,0.75,prompt_memory,8,P937,0.75
far_locality,0.0,prompt_memory,4,P937,0.0
generation,0.0,prompt_memory,11,P937,0.0
near_locality,0.25,prompt_memory,36,P937,0.2777777777777778
rewrite,1.0,prompt_memory,4,P937,1.0
same_subject,0.0,prompt_memory,4,P937,0.25
